29,悲剧女孩,泰勒·麦金泰尔,克里斯·李·希尔;泰勒·麦金泰尔;贾斯汀·奥尔森,布里安娜·希德布兰德;亚历山德拉·希普;杰克·奎德;凯文·杜兰;蒂莫西·V·墨菲;凯蒂·斯托特勒迈尔;妮基·韦兰;伊利斯·尼尔;克雷格·罗宾森;安迪·贝西亚;基思·赫德森;莎凡娜·杰德;奥斯汀·艾布拉姆斯;威廉·托卡斯基;玛丽卡门·洛佩兹;罗伦·莱斯特;赵家玲;克里·罗德斯;卡梅伦·凡·霍伊,喜剧;恐怖,美国,英语,2017-03-12(西南偏南电影节);2017-10-20(美国)
30,蝙蝠侠：煤气灯下的哥谭,刘山姆,詹姆斯·克里格;布赖恩·奥古斯塔廷;迈克·米格诺拉;鲍勃·凯恩;比尔·芬格;丹尼·奥尼尔;迪克·乔达诺,布鲁斯·格林伍德;詹妮弗·卡朋特;克里斯·考克斯;约翰·迪·玛吉欧;大卫·福塞思;格蕾·德丽斯勒;安东尼·海德;鲍勃·乔尔斯;尤里·洛文塔尔;林肯·梅尔彻;斯科特·帕特森;威廉·赛莱耶;塔拉·斯特朗;布鲁斯·提姆;卡瑞·伍尔,动作;科幻;动画;悬疑;犯罪,美国,英语,2018-01-23(美国)
31,变形金刚5：最后的骑士,迈克尔·贝,阿特·马库姆;马特·霍洛维;肯·诺兰;阿齐瓦·高斯曼,马克·沃尔伯格;伊莎贝拉·莫奈;劳拉·哈德克;安东尼·霍普金斯;乔什·杜哈明;彼特·库伦;约翰·古德曼;斯坦利·图齐;桑地亚哥·卡布瑞拉;吉尔·伯明翰;渡边谦;约翰·迪·玛吉欧;弗兰克·维尔克;米彻·佩勒吉,动作;科幻,美国,英语,2017-06-23(中国大陆);2017-06-21(美国)
32,表妹,杨浩烨,,刘智苑;朴善宇;韩娜;金正申;基昂;金亨民;权范泽,剧情;爱情;情色,韩国,韩语,2017-06-13(韩国)
33,表情奇幻冒险,安东尼·莱昂迪斯,安东尼·莱昂迪斯;艾瑞克·希格尔;麦克·怀特,T·J·米勒;詹姆斯·柯登;安娜·法瑞丝;玛娅·鲁道夫;史蒂夫·赖特;詹妮佛·库里奇;帕特里克·斯图尔特;克里斯蒂娜·阿奎莱拉;索菲娅·维加拉;瑞秋·雷;西恩·海耶斯;杰克·T·奥斯汀;塔蒂·加布里埃;杰夫瑞·罗斯;亨特·玛奇;艾瑞克·希格尔;肖恩·吉布朗尼;连姆·艾肯;索姆·毕绍普斯;凯文·张伯伦;亚当·布朗;乔·怀特;康拉德·弗农;凯特·歌妮,喜剧;动画;冒险,美国,英语,2018(中国大陆);2017-07-28(美国)
34,别惹我,吕克·贝松,吕克·贝松;迈克尔·卡莱奥;托尼诺·贝纳奎斯塔,罗伯特·德尼罗;米歇尔·菲佛;迪安娜·阿格隆;约翰·德利奥;汤米·李·琼斯;吉米·帕伦博;多米尼克·隆巴多兹;斯坦·卡普;维森特·帕斯托雷;乔恩·弗雷达;小迈克尔·J·帕尼凯利;保罗·鲍格才;安东尼·德西奥;特德·阿尔奇迪;大卫·贝利,喜剧;动作;惊悚;犯罪,法国 / 美国,英语 / 法语,2014-03-07(中国大陆);2013-09-13(美国);2013-10-23(法国)
35,冰肤传说,泽维尔·吉恩斯,赫苏斯·奥尔莫;埃伦·希恩;艾伯特·桑切斯·皮诺,雷·史蒂文森;大卫·奥克斯;奥拉·加里多;温斯洛·M·岩城;约翰·本菲尔德;本·坦普尔;伊凡·冈萨雷斯,科幻;惊悚;冒险,西班牙 / 法国,英语,2017-09-10(法国L'étrange电影节);2017-10-20(西班牙)
36,冰果 真人版,安里麻里,安里麻里;米泽穗信,山崎贤人;广濑爱丽丝;小岛藤子;冈山天音;本乡奏多,剧情;悬疑,日本,日语,2017-11-03(日本)
37,玻璃城堡,德斯汀·克里顿,德斯汀·克里顿;安德鲁·兰纳姆;珍妮特·沃尔斯,布丽·拉尔森;伍迪·哈里森;娜奥米·沃茨;艾拉·安德森;钱德勒·海德;马克思·格林菲尔德;乔希·卡拉斯;查理·肖特韦尔;伊恩·阿米蒂奇;莎拉·斯努克;萨迪·辛克;奥利维亚·凯特·莱斯;布里盖特·伦迪·佩恩;席瑞·克鲁克斯;伊登·格雷斯·雷德菲尔德;罗宾·巴特利特;乔·平格;多米尼克·博加特,剧情;家庭;传记,美国,英语,2017-08-11(美国)
38,伯德小姐,格蕾塔·葛韦格,格蕾塔·葛韦格,西尔莎·罗南;劳里·梅特卡夫;崔西·莱茨;卢卡斯·赫奇斯;蒂莫西·柴勒梅德;比妮·费尔德斯坦;罗伊丝·史密斯;斯蒂芬·亨德森;奥德娅·拉什;乔丹·罗德里格斯;凯瑟琳·纽顿;约翰·卡尔纳;杰克·麦克道曼;劳拉·马兰洛;安迪·巴克利;丹尼尔·祖瓦图;克里森·克拉克;丹妮尔·麦克唐纳;鲍勃·斯蒂芬森;路易莎·李;伦敦·托尔;本·康尼斯伯格;维克托·沃尔夫,剧情;家庭,美国,英语,2017-09-01(特柳赖德电影节);2017-11-03(美国)
