影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
可爱的你,关信辉,关信辉;张佩琼,杨千嬅;古天乐;吴耀汉;吴浣仪;姜皓文;刘玉翠;狄哲龙;冯淬帆;马浴柯;火火;黄文慧;王诗雅;何涴潆;傅舜盈;陈丽儿;李咏珊,剧情,香港 / 中国大陆,汉语普通话 / 粤语,2015-03-20(中国大陆);2015-03-19(香港);2015-04-02(台湾)
可疑的顾客们,曹溱模,曹溱模,柳昇范;允荷;成东日;徐智慧;林周焕;朴哲民,喜剧,韩国,韩语,2011-04-14(韩国)
史努比：花生大电影,史蒂夫·马蒂诺,布莱恩·舒尔茨;克莱格·舒尔茨;科尼利厄斯·乌里亚诺;查尔斯·M·舒尔茨,诺亚·施纳普;比尔·莫伦茨;弗朗西斯卡·卡帕尔迪;马里埃尔·希茨;亚历山大·加芬;维纳斯·舒尔特海斯;哈德利·贝尔·米勒;玛迪辛·希普曼;诺亚·约翰斯顿;A·J·泰切;克里斯汀·肯诺恩斯;阿纳斯塔西娅·布列季娜;丽贝卡·布卢姆;马尔·马尔;威廉·温施;米卡·雷夫利;特洛伊·安德鲁斯,喜剧;动画;冒险,美国,英语,2015-11-06(美国/中国大陆)
史蒂夫·乔布斯,丹尼·博伊尔,艾伦·索金;沃尔特·伊萨克森,迈克尔·法斯宾德;凯特·温丝莱特;塞斯·罗根;杰夫·丹尼尔斯;迈克尔·斯图巴;凯瑟琳·沃特斯顿;约翰·奥提兹;莎拉·斯努克;亚当·沙皮罗;麦肯泽·摩斯;利普丽·索博;佩拉·哈莉-贾德林;史蒂文·韦格;贾登·亚历山大;瓦内萨·罗斯,剧情;传记,英国 / 美国,英语,2015-10-23(美国)
叶问3,叶伟信,黄子桓;陈大利;梁礼彦,甄子丹;迈克·泰森;张晋;熊黛林;谭耀文;吴千语;喻亢;郑则仕;梁家仁;张继聪;陈国坤;刘以达;宗菲;曹操;王实;崔璨;刘艺菲,剧情;动作;传记;历史,中国大陆 / 香港,汉语普通话 / 粤语 / 英语,2016-03-04(中国大陆);2015-12-24(香港)
各有少年时,理查德·林克莱特,理查德·林克莱特,威尔·布里顿;佐伊·达奇;瑞安·古兹曼;泰勒·霍奇林;布莱克·詹纳;J·昆顿·约翰逊;格伦·鲍威尔;怀亚特·罗素;奥斯丁·阿梅里奥;坦普尔·贝克;坦纳·卡林那;贾斯汀·斯特里特;多拉·马迪森·布鲁格;乔纳森·布瑞克;杰西·梅希勒,喜剧,美国,英语,2016-04-08(美国)
合约男女,刘国楠,田晓威;朱珠,郑秀文;张孝全;林雪;冯文娟;弦子;金巧巧;尹子维;李茂;徐冬冬,喜剧;爱情,中国大陆,汉语普通话,2017-02-14(中国大陆)
吉屋出租：百老汇剧场版,Michael John Warren,Jonathan Larson,Will Chase;Renee Goldsberry;Adam Kantor,歌舞,美国,英语,2008-09-24
吊人游戏,约翰尼·马丁,迈克尔·凯西;查尔斯·哈汀格,阿尔·帕西诺;布兰特妮·斯诺;莎拉·夏希;卡尔·厄本;乔·安德森;杰梅因·里弗斯;谢勒·拉莫斯;迈克尔·帕帕约翰;斯蒂芬·考特尔;欧德莎·雷;朱尔斯·黑文;薇薇安娜·查维斯;马特·默丘里奥;迈克尔·罗斯;德韦恩·博伊德;斯洛恩·沃伦;乔恩·亚瑟,悬疑;惊悚;犯罪,美国,英语,2017-11-24(美国)
同囚,黄国权,黄志邦;黄国权,游学修;关楚耀;赵永洪;赵咏瑶;徐伟栋;乔宝宝;汉洋;郭奕芯;李国麟;谭嘉荃;麦以马;岑珈其,剧情;犯罪,香港,粤语,2017-05-04(香港)
